"","year","Cnsmr","Manuf","HiTec","Hlth","Other","SPCSPI","IR","CPI","Real_1yr","real_pc_consumption","real_SP_return"
"1",1927,26.4,31.78,37.88,56.54,37.34,13.4,4.26,17.5,1.05465317919075,5760.19675566048,0.381459753256837
"2",1928,38.18,51.25,59.14,32.58,30.57,17.53,4.64,17.3,1.05863859649123,5818.53558085694,0.483782187928463
"3",1929,-43.01,-27.61,-6.18,-17.51,-22.02,24.86,6.01,17.1,1.0601,6071.47098375347,-0.0876910699919548
"4",1930,-35.04,-39.94,-39.83,-17.87,-39.68,21.71,4.15,17.1,1.12010377358491,5686.17862838706,-0.15983417779825
"5",1931,-35.16,-48.58,-48.64,-37.21,-53.03,15.98,2.43,15.9,1.13890699300699,5469.07249894468,-0.365430564429313
"6",1932,8.99,17.17,-7.37,-14.08,10.33,8.3,3.36,14.3,1.14577364341085,4951.90058331912,0.0137013168954889
"7",1933,151.29,139.3,137.15,17.4,115.39,7.09,1.46,12.9,0.991540909090909,4815.92623934862,0.513463264521093
"8",1934,30.66,17.14,23.7,6.06,4.55,10.54,1.01,13.2,0.980391176470588,5123.65695907205,-0.105843286081036
"9",1935,45.12,71.5,91.45,39.72,60.22,9.26,0.75,13.6,0.992898550724638,5400.9604075974,0.51444580085767
"10",1936,43.19,60.59,37.61,23.92,57.75,13.76,0.75,13.8,0.986063829787234,5909.39074277582,0.302356506679862
"11",1937,-48.63,-42.82,-44.77,-36.17,-49.14,17.59,0.88,14.1,1.00169577464789,6090.56329838239,-0.316388953390611
"12",1938,36.76,42.26,46.56,32.35,20.37,11.31,0.88,14.2,1.02321142857143,5945.86308859311,0.166742452949349
"13",1939,11.32,1.03,-7.32,4.1,-0.2,12.5,0.56,14,1.0128345323741,6225.8148042089,0.0410359712230215
"14",1940,-5.59,-5.62,-0.83,-10.67,-15.4,12.3,0.56,13.9,0.991336170212766,6495.56048447913,-0.100743815948798
"15",1941,-7.34,-12.86,-8.17,10.75,-1.01,10.55,0.53,14.1,0.902849044585987,6892.7520014453,-0.179376339541763
"16",1942,30.2,24.22,51.44,27.49,63.84,8.93,0.63,15.7,0.93484674556213,6662.80300707845,0.11104779448306
"17",1943,72,46.45,47.39,40.07,84.95,10.09,0.69,16.9,0.977966091954023,6759.2795227207,0.199400795142567
"18",1944,45.66,35.14,32.93,21.82,50.16,11.85,0.72,17.4,0.984566292134831,6872.80097762336,0.165609443891338
"19",1945,70.41,57.62,38.29,60.88,67.78,13.49,0.75,17.8,0.985357142857143,7217.9069700584,0.354295815378098
"20",1946,-9.25,-4.34,-21.39,21.19,-21.38,18.02,0.76,18.2,0.85294511627907,8015.24029252142,-0.252138450816922
"21",1947,-2.3,4.25,0.99,-20.87,-4.11,15.21,1.01,21.5,0.916335443037975,8007.9423446256,-0.0653911345245329
"22",1948,-8.13,-1.25,4.27,-6.76,2.68,14.83,1.35,23.7,1.00083125,8045.45701007427,0.0847184760620364
"23",1949,26.39,18.76,11.99,35.12,21.27,15.36,1.58,24,1.03741276595745,8125.39175247086,0.19813829787234
